npoints,time,amount_of_fails,start,end,start_label,end_label
800,65.29749150003772,0,[ 50 220],[120  50],br1,br2
800,69.0706785999937,0,[500 150],[120  50],garage,br2
800,65.98970170004759,0,[120  50],[50 50],br2,br3
800,62.50552320003044,0,[ 50 220],[500 150],br1,garage
800,132.50050919991918,1,[220  50],[100 350],study,garden
800,63.17185889999382,0,[320 190],[ 50 220],kitchen,br1
800,60.31094929995015,0,[ 50 220],[200 350],br1,patio
800,64.3697374999756,0,[320  50],[220 200],mudroom,living
800,65.3189436000539,0,[220  50],[500 150],study,garage
800,66.85243850003462,0,[120  50],[500 350],br2,driveway
800,61.965053299907595,0,[100 350],[320 280],garden,nook
800,65.06300279998686,0,[120  50],[500 350],br2,driveway
800,64.40950129996054,0,[500 150],[200 350],garage,patio
800,68.44180230004713,0,[500 350],[200 350],driveway,patio
800,67.78479039995,0,[220  50],[200 350],study,patio
